
2024/11/25 (00:53:03) | ===> btop++ v.1.3.2
2024/11/25 (00:53:03) | ERROR: Stall in Runner thread, restarting!
2024/11/25 (01:56:00) | WARNING: Failed to join _runner thread on exit!

2024/11/25 (15:49:33) | ===> btop++ v.1.3.2
2024/11/25 (15:49:33) | ERROR: Stall in Runner thread, restarting!
2024/11/25 (16:52:35) | WARNING: Failed to join _runner thread on exit!

2024/11/25 (17:36:48) | ===> btop++ v.1.3.2
2024/11/25 (17:36:48) | ERROR: Stall in Runner thread, restarting!
2024/11/25 (17:37:38) | ERROR: Stall in Runner thread, restarting!
2024/11/25 (18:00:36) | ERROR: Stall in Runner thread, restarting!
2024/11/25 (18:46:52) | ERROR: Stall in Runner thread, restarting!
2024/11/25 (18:46:58) | ERROR: Stall in Runner thread, restarting!
2024/11/25 (18:47:03) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:03) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:03) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:04) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:05) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:06) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:07) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:08) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:09) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:10) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:11) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:12) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:13) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:14) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:15) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:16) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:19) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:20) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:21) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:22) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:23) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:39) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:40) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:41) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:42) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:43) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:47:44) | WARNING: Error in Mem::collect() : std::future_error: No associated state
